YEAR,REGION,INDICATOR
1997,Тюменская область,76.41
1997,Удмуртия,69.75
1997,Ульяновская область,72.67
1997,Хабаровский край,80.45
1997,Хакасия,70.56
1997,Ханты-Мансийский автономный округ,90.96
1997,Челябинская область,81.45
1997,Чечня,38.16
1997,Чувашия,59.89
1997,Чукотский автономный округ,69.55
1997,Якутия,64.47
1997,Ямало-Ненецкий автономный округ,83.23
1997,Ярославская область,80.36
1998,Адыгея,53.05
1998,Алтайский край,52.76
1998,Амурская область,66.07
1998,Архангельская область,74.3
1998,Астраханская область,68.13
1998,Башкортостан,63.95
1998,Белгородская область,64.82
1998,Брянская область,68.14
1998,Бурятия,59.84
1998,Владимирская область,79.74
1998,Волгоградская область,74.79
1998,Вологодская область,68.59
1998,Воронежская область,61.43
1998,Дагестан,43.4
1998,Еврейская автономная область,66.93
1998,Забайкальский край,63.79
1998,Ивановская область,82.35
1998,Ингушетия,42.31
1998,Иркутская область,79.59
1998,Кабардино-Балкария,57.0
1998,Калининградская область,78.12
1998,Калмыкия,40.12
1998,Калужская область,74.26
1998,Камчатский край,80.63
1998,Карачаево-Черкесия,43.89
1998,Карелия,73.81
1998,Кемеровская область,86.61
1998,Кировская область,70.79
1998,Костромская область,66.07
1998,Краснодарский край,53.82
1998,Красноярский край,74.83
1998,Крым,
1998,Курганская область,56.16
1998,Курская область,59.96
1998,Ленинградская область,66.22
1998,Липецкая область,63.4
1998,Магаданская область,89.1
1998,Марий Эл,62.75
1998,Мордовия,58.8
1998,Москва,100.0
1998,Московская область,79.57
1998,Мурманская область,92.02
1998,Ненецкий автономный округ,62.22
1998,Нижегородская область,77.69
1998,Новгородская область,70.22
1998,Новосибирская область,74.4
1998,Омская область,67.97
1998,Оренбургская область,64.32
1998,Орловская область,63.05
1998,Пензенская область,64.39
1998,Пермский край,76.54
1998,Приморский край,77.66
1998,Псковская область,65.01
1998,Республика Алтай,24.58
1998,Республика Коми,75.34
1998,Республика Тыва,48.71
1998,Ростовская область,67.75
1998,Рязанская область,67.65
1998,Самарская область,80.6
1998,Санкт-Петербург,100.0
1998,Саратовская область,73.24
1998,Сахалинская область,86.12
1998,Свердловская область,87.74
1998,Севастополь,
1998,Северная Осетия,68.27
1998,Смоленская область,69.79
1998,Ставропольский край,54.14
1998,Тамбовская область,57.14
1998,Татарстан,73.33
